"Job_Link","Title","Industry","Job_Category_parent","Job_Category","Salary_Mode","Min_Salary","Max_Salary","Skills","Job_Type","Work Arrangement","Education","Experience"
"https://glints.com/id/opportunities/jobs/2fbb1738-7185-40c2-a024-9f033fb1d4ef","Cashier","N/A","Services Industry","Cashier","MONTH","1500000","2200000","Cashier, Microsoft Excel, teliti","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/5581a422-d5f3-4b0d-adc7-5117615d60a9","SALES (Serpong, BSD Tanggerang, Jawa Barat)","Food Production","Business Development & Sales","Sales Representative","N/A","0","0","Sales Management, Sales Strategy, Customer Service, Customer Engagement, Sales and Marketing, B2C Sales, Communication Skills, Account Management, Customer Relationship Management, B2B Sales","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/616ffd90-132b-4a11-9bf2-f1696f46ecc5","Field Sales WIFI- Batam","Telecommunications","Business Development & Sales","Sales Representative","MONTH","3500000","8000000","Sales and Marketing, B2C Sales, Communication Skills","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/6aace43e-bb52-4ad3-a4c0-53040738077f","operasional livestream","Furniture","Marketing","Livestreamer","MONTH","3000000","3800000","Teamwork, Live Streaming, TikTok, Microsoft Excel","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/15e880cc-46a6-4fc6-b63a-ac7c04bd728e","Seafood Keeper","Food & Beverages","Retail","Store Crew","MONTH","2100000","2500000","Warehouse Management, Butcher, Teamwork","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/58428dd5-e1ae-4245-9696-df9775bcae45","Account Manager (AM)","Internet","Business Development & Sales","Sales Representative","MONTH","3800000","5000007","Negotiation Skills, Social Media, Microsoft Office, Good Communication Skill","FULL_TIME","ONSITE","DIPLOMA","1"
"https://glints.com/id/opportunities/jobs/96e934ae-e10b-47c7-a2e0-c3811c95803a","Direct Sales Wifi / Internet (Wilayah Bekasi)","Internet","Business Development & Sales","Direct Sales","MONTH","2000000","8000000","Good Communication, Purchasing Negotiation, Negotiation Skills","CONTRACT","ONSITE","HIGH_SCHOOL","0"
"https://glints.com/id/opportunities/jobs/15511725-57ca-4548-926c-86bd9afbdecb","Operator Maintenance","Manufacturing","Mechanical Design & Manufacturing","Maintenance Engineer","MONTH","4888000","7332000","Injection Molding, Maintenance Engineering, Mechanical Maintenance, Preventive Maintenance, Electrical Maintenance, Equipment Maintenance","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/bfbb2618-e115-4589-b7d2-739cc6862a9f","INTERNSHIP /MAGANG MAHASISWA HUKUM - BANDUNG","Legal Services","Law & Legal Services","Legal Associate","MONTH","1000000","1500000","Legal Advice, Legal Compliance, Legal Research","INTERNSHIP","ONSITE","HIGH_SCHOOL","0"
"https://glints.com/id/opportunities/jobs/a54fd94c-d175-4f29-b2fc-9b926cc5d55f","Maintenance Electrical","Farming","Mechanical Design & Manufacturing","Maintenance Engineer","MONTH","2800000","3200000","Preventive Maintenance, Electrical Maintenance, Maintenance Engineering, AutoCAD, Microsoft Office","FULL_TIME","ONSITE","DIPLOMA","1"
"https://glints.com/id/opportunities/jobs/842a80f4-8262-494f-9b27-a8fd9e01c4b2","Office Boy","Management Consulting","Services Industry","Cleaner","MONTH","5000000","5350000","Factory Cleaning, Warehouse Operator, Cleaning Service, Office Cleaning","CONTRACT","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/3e806617-bacd-4173-99f1-b471929cf803","Area Sales Supervisor - Batam","Telecommunications","Business Development & Sales","Sales Operations","MONTH","6000000","8000000","Sales Management, Communication Skills, Leadership, B2C Sales","FULL_TIME","ONSITE","DIPLOMA","1"
"https://glints.com/id/opportunities/jobs/88410cc0-c992-4526-a444-7f3f436d6902","Guru baca tulis","Primary/Secondary Education","Education & Training","Teacher","MONTH","1000000","2000000","Teamwork, Communication Skills, Customer Service","FULL_TIME","ONSITE","BACHELOR_DEGREE","1"
"https://glints.com/id/opportunities/jobs/f074b961-6b53-43f0-a837-65c961a32c57","General Service Officer","Environmental Services","Administrative & HR","General Affair","MONTH","3000000","4000000","Communication Skills, Teamwork, Problem Solving, Driving, Customer Service, Asset Management","FULL_TIME","ONSITE","DIPLOMA","0"
"https://glints.com/id/opportunities/jobs/bc2528d9-959b-4e06-9dbc-a6fe9d7e0f02","Direct Sales Wifi / Internet (Wilayah Karawang)","Internet","Business Development & Sales","Sales Representative","MONTH","2000000","8000000","Purchasing Negotiation, Negotiation Skills, Good Communication","CONTRACT","ONSITE","HIGH_SCHOOL","0"
"https://glints.com/id/opportunities/jobs/ab3560eb-9bab-47d5-9064-4a2759e72aa1","Head marketing","Commercial Real Estate","Marketing","Marketing Manager","MONTH","50000","5000000","Marketing Communications, Team Management, Marketing Management","FULL_TIME","ONSITE","DIPLOMA","5"
"https://glints.com/id/opportunities/jobs/79ba6a5c-8919-4e37-bc72-42346b34a6f5","Education Consultant (Sales)","Education Management","Business Development & Sales","Education Consultant","MONTH","2500000","5000000","Sales and Marketing, Sales Strategy, Education Administration, B2C Sales","FULL_TIME","ONSITE","HIGH_SCHOOL","0"
"https://glints.com/id/opportunities/jobs/fe9f1dd1-2dbd-4cdf-9d39-e5dc34cd2d0b","STAFF ADMINISTRASI SUPPORT","Sports","Administrative & HR","Administrative Staff","MONTH","4500000","5000000","Data Entry, Microsoft Office, Google Docs, Google Sheets, Office Administration, Microsoft Excel, Administration","FULL_TIME","ONSITE","DIPLOMA","0"
"https://glints.com/id/opportunities/jobs/04f4aae4-5004-4053-b033-2a7327a62c57","Sales Manager Property Subsidi","Real Estate","Sales Management","Sales Manager","MONTH","6000000","9000000","Sales Management, Communication Skills, Sales Strategy, Performance Management","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
